SrNo,ISO StateCode,Latitude,Longitude,StateName,countrycode,,
326,KO,7.08333,1.83333,Kouffo Department,BJ,,
327,DO,9.33333,1.78333,Donga,BJ,,
328,LI,6.36667,2.41667,Littoral,BJ,,
329,PL,7.16667,2.58333,Plateau Department,BJ,,
330,BM-11,32.26583,-64.80722,Warwick Parish,BM,,
331,BM-10,32.25083,-64.85639,Southampton Parish,BM,,
332,BM-09,32.31528,-64.73528,Smith's Parish,BM,,
333,BM-08,32.29345,-64.86828,Sandys Parish,BM,,
334,BM-07,32.3726,-64.69437,Saint George's Parish,BM,,
335,BM-06,32.38417,-64.67639,Saint George,BM,,
336,BM-05,32.29944,-64.79278,Pembroke Parish,BM,,
337,BM-04,32.27833,-64.78167,Paget Parish,BM,,
338,BM-03,32.34222,-64.72833,Hamilton,BM,,
339,BM-02,32.29326,-64.78063,Hamilton,BM,,
340,BM-01,32.30278,-64.75583,Devonshire Parish,BM,,
341,TU,4.58333,114.66667,Tutong District,BN,,
342,TE,4.58333,115.16667,Temburong District,BN,,
343,BM,4.83333,114.91667,Brunei and Muara District,BN,,
344,BE,4.41667,114.58333,Belait District,BN,,
345,C,-17.389498,-66.156797,Cochabamba,BO,,
346,O,-17.983333,-67.15,Oruro,BO,,
347,P,-19.583611,-65.753056,Potosi,BO,,
348,T,-21.525701,-64.728052,Tarija,BO,,
349,B,-14.833333,-64.9,El Beni,BO,,
350,N,-11.018556,-68.757015,Pando,BO,,
351,S,-17.8,-63.166667,Santa Cruz,BO,,
352,SP,-23.573252,-46.641681,Sao Paulo,BR,,
353,RJ,-22.875113,-43.277548,Rio de Janeiro,BR,,
354,MG,-19.901739,-43.964196,Minas Gerais,BR,,
355,RS,-30.033333,-51.2,Rio Grande do Sul,BR,,
356,PE,-8.05,-34.9,Pernambuco,BR,,
357,CE,-3.737464,-38.546167,Ceara,BR,,
358,BA,-12.983333,-38.516667,Bahia,BR,,
359,PR,-25.416667,-49.25,Parana,BR,,
360,PA,-1.437281,-48.470614,Para,BR,,
361,GO,-16.701028,-49.266793,Goias,BR,,
362,AM,-3.113333,-60.025278,Amazonas,BR,,
363,ES,-20.332179,-40.345011,Espirito Santo,BR,,
364,AL,-9.652406,-35.722433,Alagoas,BR,,
365,RN,-5.80021,-35.210669,Rio Grande do Norte,BR,,
366,MA,-2.532519,-44.296299,Maranhao,BR,,
367,SC,-27.590444,-48.57581,Santa Catarina,BR,,
368,PB,-7.123742,-34.865646,Paraiba,BR,,
369,PI,-5.102887,-42.801549,Piaui,BR,,
370,MT,-15.596,-56.097,Mato Grosso,BR,,
371,MS,-20.45,-54.616667,Mato Grosso do Sul,BR,,
372,SE,-10.916667,-37.066667,Sergipe,BR,,
373,AP,0.035158,-51.061633,Amapa,BR,,
374,RO,-8.766667,-63.9,Rondônia,BR,,
375,AC,-9.966667,-67.8,Acre,BR,,
376,TO,-10.166944,-48.332778,Tocantins,BR,,
377,RR,2.820842,-60.671312,Roraima,BR,,
378,SS,24.03667,-74.49306,San Salvador District,BS,,
379,RI,22.37083,-75.815,Ragged Island District,BS,,
380,BY,25.72111,-77.83139,Berry Islands District,BS,,
381,NP,25.03333,-77.28333,New Providence District,BS,,
382,MG,22.38417,-72.95389,Mayaguana District,BS,,
383,LI,23.21667,-75.11167,Long Island,BS,,
384,IN,21.07694,-73.31167,Inagua,BS,,
385,HI,25.48946,-76.63513,Harbour Island District,BS,,
386,FP,26.52028,-78.64528,City of Freeport District,BS,,
387,EX,23.56944,-75.88417,Exuma District,BS,,
388,CI,24.335,-75.4575,Cat Island,BS,,
389,BI,25.70444,-79.28889,Bimini District,BS,,
390,AK,22.43167,-73.96417,"Acklins Island District
",BS,,
391,BP,24.09,-76.39556,Black Point District,BS,,
392,CO,26.43917,-77.12972,Central Abaco District,BS,,
393,CS,24.43889,-77.95194,Central Andros District,BS,,
394,CE,25.135,-76.14556,"Central Eleuthera District
",BS,,
395,CK,22.73361,-74.21528,Crooked Island and Long Cay District,BS,,
396,EG,26.67167,-78.14139,East Grand Bahama District,BS,,
397,GC,27.22917,-78.33056,Grand Cay District,BS,,
398,HT,26.77111,-77.32889,Hope Town District,BS,,
399,MC,24.16,-77.78028,Mangrove Cay,BS,,
400,MI,26.30083,-77.55417,Moore’s Island District,BS,,
